d,h,a,n,f1000,f2000,f3000,f4000,ft,fh_mean,fh_std,CV,P
0.4,0.3,0.0,1,6.0,5.6,5.07,4.67,5.33,5.335000000000001,0.5844940832321002,10.955840360489223,5.5638015671708745
0.6,0.3,0.0,1,6.93,6.67,6.27,5.73,6.4,6.3999999999999995,0.5226853738148789,8.166958965857484,6.633915994378528
0.8,0.3,0.0,1,8.0,7.73,7.33,6.8,7.47,7.465000000000001,0.5218237250259902,6.990270931359547,7.702822376857874
1.0,0.3,0.0,1,8.67,8.4,8.0,7.47,8.13,8.135,0.5218237250259902,6.414551014455934,8.371646532666752
1.2,0.3,0.0,1,9.33,8.93,8.67,8.13,8.76,8.765,0.502891638427206,5.737497300937889,9.001503756207844
1.4,0.3,0.0,1,9.87,9.6,9.2,8.67,9.33,9.334999999999999,0.5218237250259897,5.589970273443918,9.573543068371078
1.6,0.3,0.0,1,10.53,10.27,9.87,9.33,9.99,9.999999999999998,0.5226853738148789,5.22685373814879,10.238178236402259
1.8,0.3,0.0,1,6.27,6.0,5.6,5.2,5.77,5.767499999999999,0.46785859687160447,8.111982607223313,5.999842440003388
2.2,0.3,0.0,1,7.87,7.6,7.2,6.8,7.37,7.3675,0.4678585968716047,6.350303316886389,7.603894302371162
2.6,0.3,0.0,1,8.27,8.0,7.73,7.33,7.83,7.8325,0.40102992407051097,5.120075634478276,8.067223826040701
3.0,0.3,0.0,1,7.07,6.8,6.53,6.13,6.63,6.6325,0.4010299240705113,6.0464368499134755,6.8650931952452
3.4,0.3,0.0,1,8.0,7.73,7.47,7.07,7.57,7.5675,0.3960113634733225,5.233054026737,7.802963975738506
1.6,0.2,0.0,1,8.8,8.4,8.0,7.47,8.17,8.1675,0.5682355732147251,6.957276684600246,8.40639826362542
1.6,0.3,0.0,1,10.53,10.27,9.87,9.33,9.99,9.999999999999998,0.5226853738148789,5.22685373814879,10.238178236402259
1.6,0.4,0.0,1,10.93,10.67,10.4,10.0,10.5,10.5,0.3974082703383678,3.784840669889217,10.738294866459254
0.4,0.3,0.4,1,8.13,7.73,7.33,6.93,7.53,7.53,0.5163977794943228,6.857872237640408,7.766226893853428
0.6,0.3,0.6,1,9.6,9.33,8.93,8.53,9.1,9.0975,0.46785859687160486,5.142716096417751,9.33667175297824
0.8,0.3,0.8,1,11.73,11.33,10.93,10.53,11.13,11.13,0.5163977794943226,4.639692538134075,11.371328707162293
1.0,0.3,1.0,1,11.07,10.67,10.27,9.87,10.47,10.47,0.5163977794943226,4.932165993260005,10.7106560182155
1.2,0.3,1.2,1,10.27,9.87,9.47,9.27,9.67,9.719999999999999,0.4434711565216688,4.562460458041861,9.945506340946505
1.6,0.3,0.0,1,17.07,16.27,15.47,14.67,15.87,15.870000000000001,1.0327955589886444,6.5078485128459,16.129031948420455
1.6,0.3,0.0,3,14.67,14.0,13.33,12.67,13.67,13.6675,0.8610991038589383,6.300340983054239,13.920309215738977
1.6,0.3,0.0,5,12.27,11.6,10.93,10.27,11.27,11.267499999999998,0.8610991038589383,7.642326193556142,11.517222649754821
1.6,0.3,0.0,7,9.07,8.4,7.73,7.07,8.07,8.067499999999999,0.8610991038589383,10.673679626389072,8.310250536859305
1.6,0.3,0.0,9,5.73,5.07,4.4,3.73,4.73,4.7325,0.8610991038589385,18.195438010754117,4.9567504925752655
